,pokedex_number,name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
201,161,Sentret,2,Normal,Scout Pokémon,1,Normal,,0.8,6.0,3,Run Away,Keen Eye,Frisk,215.0,35.0,46.0,34.0,35.0,45.0,20.0,255.0,70.0,43.0,Medium Fast,1,Field,,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
202,162,Furret,2,Normal,Long Body Pokémon,1,Normal,,1.8,32.5,3,Run Away,Keen Eye,Frisk,415.0,85.0,76.0,64.0,45.0,55.0,90.0,90.0,70.0,145.0,Medium Fast,1,Field,,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
203,163,Hoothoot,2,Normal,Owl Pokémon,2,Normal,Flying,0.7,21.2,3,Insomnia,Keen Eye,Tinted Lens,262.0,60.0,30.0,30.0,36.0,56.0,50.0,255.0,70.0,52.0,Medium Fast,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
204,164,Noctowl,2,Normal,Owl Pokémon,2,Normal,Flying,1.6,40.8,3,Insomnia,Keen Eye,Tinted Lens,452.0,100.0,50.0,50.0,86.0,96.0,70.0,90.0,70.0,158.0,Medium Fast,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
205,165,Ledyba,2,Normal,Five Star Pokémon,2,Bug,Flying,1.0,10.8,3,Swarm,Early Bird,Rattled,265.0,40.0,20.0,30.0,40.0,80.0,55.0,255.0,70.0,53.0,Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
206,166,Ledian,2,Normal,Five Star Pokémon,2,Bug,Flying,1.4,35.6,3,Swarm,Early Bird,Iron Fist,390.0,55.0,35.0,50.0,55.0,110.0,85.0,90.0,70.0,137.0,Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
207,167,Spinarak,2,Normal,String Spit Pokémon,2,Bug,Poison,0.5,8.5,3,Swarm,Insomnia,Sniper,250.0,40.0,60.0,40.0,40.0,40.0,30.0,255.0,70.0,50.0,Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
208,168,Ariados,2,Normal,Long Leg Pokémon,2,Bug,Poison,1.1,33.5,3,Swarm,Insomnia,Sniper,400.0,70.0,90.0,70.0,60.0,70.0,40.0,90.0,70.0,140.0,Fast,1,Bug,,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
209,169,Crobat,2,Normal,Bat Pokémon,2,Poison,Flying,1.8,75.0,2,Inner Focus,,Infiltrator,535.0,85.0,90.0,80.0,70.0,80.0,130.0,90.0,70.0,241.0,Medium Fast,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
210,170,Chinchou,2,Normal,Angler Pokémon,2,Water,Electric,0.5,12.0,3,Volt Absorb,Illuminate,Water Absorb,330.0,75.0,38.0,38.0,56.0,56.0,67.0,190.0,70.0,66.0,Slow,1,Water 2,,50.0,20.0,1.0,0.5,0.5,0.0,2.0,0.5,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0
211,171,Lanturn,2,Normal,Light Pokémon,2,Water,Electric,1.2,22.5,3,Volt Absorb,Illuminate,Water Absorb,460.0,125.0,58.0,58.0,76.0,76.0,67.0,75.0,70.0,161.0,Slow,1,Water 2,,50.0,20.0,1.0,0.5,0.5,0.0,2.0,0.5,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0
212,172,Pichu,2,Normal,Tiny Mouse Pokémon,1,Electric,,0.3,2.0,2,Static,,Lightning Rod,205.0,20.0,40.0,15.0,35.0,35.0,60.0,190.0,70.0,41.0,Medium Fast,1,Undiscovered,,50.0,10.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
213,173,Cleffa,2,Normal,Star Shape Pokémon,1,Fairy,,0.3,3.0,3,Cute Charm,Magic Guard,Friend Guard,218.0,50.0,25.0,28.0,45.0,55.0,15.0,150.0,140.0,44.0,Fast,1,Undiscovered,,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
214,174,Igglybuff,2,Normal,Balloon Pokémon,2,Normal,Fairy,0.3,1.0,3,Cute Charm,Competitive,Friend Guard,210.0,90.0,30.0,15.0,40.0,20.0,15.0,170.0,70.0,42.0,Fast,1,Undiscovered,,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
215,175,Togepi,2,Normal,Spike Ball Pokémon,1,Fairy,,0.3,1.5,3,Hustle,Serene Grace,Super Luck,245.0,35.0,20.0,65.0,40.0,65.0,20.0,190.0,70.0,49.0,Fast,1,Undiscovered,,87.5,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
216,176,Togetic,2,Normal,Happiness Pokémon,2,Fairy,Flying,0.6,3.2,3,Hustle,Serene Grace,Super Luck,405.0,55.0,40.0,85.0,80.0,105.0,40.0,75.0,70.0,142.0,Fast,2,Fairy,Flying,87.5,10.0,1.0,1.0,1.0,2.0,0.5,2.0,0.25,2.0,0.0,1.0,1.0,0.25,2.0,1.0,0.0,0.5,2.0,1.0
217,177,Natu,2,Normal,Tiny Bird Pokémon,2,Psychic,Flying,0.2,2.0,3,Synchronize,Early Bird,Magic Bounce,320.0,40.0,50.0,45.0,70.0,45.0,70.0,190.0,70.0,64.0,Medium Fast,1,Flying,,50.0,20.0,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0
218,178,Xatu,2,Normal,Mystic Pokémon,2,Psychic,Flying,1.5,15.0,3,Synchronize,Early Bird,Magic Bounce,470.0,65.0,75.0,70.0,95.0,70.0,95.0,75.0,70.0,165.0,Medium Fast,1,Flying,,50.0,20.0,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0
219,179,Mareep,2,Normal,Wool Pokémon,1,Electric,,0.6,7.8,2,Static,,Plus,280.0,55.0,40.0,40.0,65.0,45.0,35.0,235.0,70.0,56.0,Medium Slow,2,Field,Monster,50.0,20.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
220,180,Flaaffy,2,Normal,Wool Pokémon,1,Electric,,0.8,13.3,2,Static,,Plus,365.0,70.0,55.0,55.0,80.0,60.0,45.0,120.0,70.0,128.0,Medium Slow,2,Field,Monster,50.0,20.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
221,181,Ampharos,2,Normal,Light Pokémon,1,Electric,,1.4,61.5,2,Static,,Plus,510.0,90.0,75.0,85.0,115.0,90.0,55.0,45.0,70.0,230.0,Medium Slow,2,Field,Monster,50.0,20.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
222,181,Mega Ampharos,2,Normal,Light Pokémon,2,Electric,Dragon,1.4,61.5,1,Mold Breaker,,,610.0,90.0,95.0,105.0,165.0,110.0,45.0,45.0,70.0,275.0,Medium Slow,2,Field,Monster,50.0,20.0,1.0,0.5,0.5,0.25,0.5,2.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0
223,182,Bellossom,2,Normal,Flower Pokémon,1,Grass,,0.4,5.8,2,Chlorophyll,,Healer,490.0,75.0,80.0,95.0,90.0,100.0,50.0,45.0,70.0,221.0,Medium Slow,1,Grass,,50.0,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
224,183,Marill,2,Normal,Aqua Mouse Pokémon,2,Water,Fairy,0.4,8.5,3,Thick Fat,Huge Power,Sap Sipper,250.0,70.0,20.0,50.0,20.0,50.0,40.0,190.0,70.0,88.0,Fast,2,Fairy,Water 1,50.0,10.0,1.0,0.25,0.5,2.0,2.0,0.25,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0
225,184,Azumarill,2,Normal,Aqua Rabbit Pokémon,2,Water,Fairy,0.8,28.5,3,Thick Fat,Huge Power,Sap Sipper,420.0,100.0,50.0,80.0,60.0,80.0,50.0,75.0,70.0,189.0,Fast,2,Fairy,Water 1,50.0,10.0,1.0,0.25,0.5,2.0,2.0,0.25,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0
226,185,Sudowoodo,2,Normal,Imitation Pokémon,1,Rock,,1.2,38.0,3,Sturdy,Rock Head,Rattled,410.0,70.0,100.0,115.0,30.0,65.0,30.0,65.0,70.0,144.0,Medium Fast,1,Mineral,,50.0,20.0,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
227,186,Politoed,2,Normal,Frog Pokémon,1,Water,,1.1,33.9,3,Water Absorb,Damp,Drizzle,500.0,90.0,75.0,75.0,90.0,100.0,70.0,45.0,70.0,225.0,Medium Slow,1,Water 1,,50.0,20.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
228,187,Hoppip,2,Normal,Cottonweed Pokémon,2,Grass,Flying,0.4,0.5,3,Chlorophyll,Leaf Guard,Infiltrator,250.0,35.0,35.0,40.0,35.0,55.0,50.0,255.0,70.0,50.0,Medium Slow,2,Fairy,Grass,50.0,20.0,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
229,188,Skiploom,2,Normal,Cottonweed Pokémon,2,Grass,Flying,0.6,1.0,3,Chlorophyll,Leaf Guard,Infiltrator,340.0,55.0,45.0,50.0,45.0,65.0,80.0,120.0,70.0,119.0,Medium Slow,2,Fairy,Grass,50.0,20.0,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
230,189,Jumpluff,2,Normal,Cottonweed Pokémon,2,Grass,Flying,0.8,3.0,3,Chlorophyll,Leaf Guard,Infiltrator,460.0,75.0,55.0,70.0,55.0,95.0,110.0,45.0,70.0,207.0,Medium Slow,2,Fairy,Grass,50.0,20.0,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
231,190,Aipom,2,Normal,Long Tail Pokémon,1,Normal,,0.8,11.5,3,Run Away,Pickup,Skill Link,360.0,55.0,70.0,55.0,40.0,55.0,85.0,45.0,70.0,72.0,Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
232,191,Sunkern,2,Normal,Seed Pokémon,1,Grass,,0.3,1.8,3,Chlorophyll,Solar Power,Early Bird,180.0,30.0,30.0,30.0,30.0,30.0,30.0,235.0,70.0,36.0,Medium Slow,1,Grass,,50.0,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
233,192,Sunflora,2,Normal,Sun Pokémon,1,Grass,,0.8,8.5,3,Chlorophyll,Solar Power,Early Bird,425.0,75.0,75.0,55.0,105.0,85.0,30.0,120.0,70.0,149.0,Medium Slow,1,Grass,,50.0,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
234,193,Yanma,2,Normal,Clear Wing Pokémon,2,Bug,Flying,1.2,38.0,3,Speed Boost,Compound Eyes,Frisk,390.0,65.0,65.0,45.0,75.0,45.0,95.0,75.0,70.0,78.0,Medium Fast,1,Bug,,50.0,20.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
235,194,Wooper,2,Normal,Water Fish Pokémon,2,Water,Ground,0.4,8.5,3,Damp,Water Absorb,Unaware,210.0,55.0,45.0,45.0,25.0,25.0,15.0,255.0,70.0,42.0,Medium Fast,2,Field,Water 1,50.0,20.0,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
236,195,Quagsire,2,Normal,Water Fish Pokémon,2,Water,Ground,1.4,75.0,3,Damp,Water Absorb,Unaware,430.0,95.0,85.0,85.0,65.0,65.0,35.0,90.0,70.0,151.0,Medium Fast,2,Field,Water 1,50.0,20.0,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
237,196,Espeon,2,Normal,Sun Pokémon,1,Psychic,,0.9,26.5,2,Synchronize,,Magic Bounce,525.0,65.0,65.0,60.0,130.0,95.0,110.0,45.0,70.0,184.0,Medium Fast,1,Field,,87.5,35.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
238,197,Umbreon,2,Normal,Moonlight Pokémon,1,Dark,,1.0,27.0,2,Synchronize,,Inner Focus,525.0,95.0,65.0,110.0,60.0,130.0,65.0,45.0,35.0,184.0,Medium Fast,1,Field,,87.5,35.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
239,198,Murkrow,2,Normal,Darkness Pokémon,2,Dark,Flying,0.5,2.1,3,Insomnia,Super Luck,Prankster,405.0,60.0,85.0,42.0,85.0,42.0,91.0,30.0,35.0,81.0,Medium Slow,1,Flying,,50.0,20.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0
240,199,Slowking,2,Normal,Royal Pokémon,2,Water,Psychic,2.0,79.5,3,Oblivious,Own Tempo,Regenerator,490.0,95.0,75.0,80.0,100.0,110.0,30.0,70.0,70.0,172.0,Medium Fast,2,Monster,Water 1,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
241,200,Misdreavus,2,Normal,Screech Pokémon,1,Ghost,,0.7,1.0,1,Levitate,,,435.0,60.0,60.0,60.0,85.0,85.0,85.0,45.0,35.0,87.0,Fast,1,Amorphous,,50.0,25.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0
242,201,Unown,2,Normal,Symbol Pokémon,1,Psychic,,0.5,5.0,1,Levitate,,,336.0,48.0,72.0,48.0,72.0,48.0,48.0,225.0,70.0,118.0,Medium Fast,1,Undiscovered,,55.00315656565657,40.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
243,202,Wobbuffet,2,Normal,Patient Pokémon,1,Psychic,,1.3,28.5,2,Shadow Tag,,Telepathy,405.0,190.0,33.0,58.0,33.0,58.0,33.0,45.0,70.0,142.0,Medium Fast,1,Amorphous,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
244,203,Girafarig,2,Normal,Long Neck Pokémon,2,Normal,Psychic,1.5,41.5,3,Inner Focus,Early Bird,Sap Sipper,455.0,70.0,80.0,65.0,90.0,65.0,85.0,60.0,70.0,159.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,1.0,2.0,1.0,1.0
245,204,Pineco,2,Normal,Bagworm Pokémon,1,Bug,,0.6,7.2,2,Sturdy,,Overcoat,290.0,50.0,65.0,90.0,35.0,35.0,15.0,190.0,70.0,58.0,Medium Fast,1,Bug,,50.0,20.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
246,205,Forretress,2,Normal,Bagworm Pokémon,2,Bug,Steel,1.2,125.8,2,Sturdy,,Overcoat,465.0,75.0,90.0,140.0,60.0,60.0,40.0,75.0,70.0,163.0,Medium Fast,1,Bug,,50.0,20.0,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5
247,206,Dunsparce,2,Normal,Land Snake Pokémon,1,Normal,,1.5,14.0,3,Serene Grace,Run Away,Rattled,415.0,100.0,70.0,70.0,65.0,65.0,45.0,190.0,70.0,145.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
248,207,Gligar,2,Normal,FlyScorpion Pokémon,2,Ground,Flying,1.1,64.8,3,Hyper Cutter,Sand Veil,Immunity,430.0,65.0,75.0,105.0,35.0,65.0,85.0,60.0,70.0,86.0,Medium Slow,1,Bug,,50.0,20.0,1.0,1.0,2.0,0.0,1.0,4.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
249,208,Steelix,2,Normal,Iron Snake Pokémon,2,Steel,Ground,9.2,400.0,3,Rock Head,Sturdy,Sheer Force,510.0,75.0,85.0,200.0,55.0,65.0,30.0,25.0,70.0,179.0,Medium Fast,1,Mineral,,50.0,25.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
250,208,Mega Steelix,2,Normal,Iron Snake Pokémon,2,Steel,Ground,10.5,740.0,1,Sand Force,,,610.0,75.0,125.0,230.0,55.0,95.0,30.0,25.0,70.0,214.0,Medium Fast,1,Mineral,,50.0,25.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
251,209,Snubbull,2,Normal,Fairy Pokémon,1,Fairy,,0.6,7.8,3,Intimidate,Run Away,Rattled,300.0,60.0,80.0,50.0,40.0,40.0,30.0,190.0,70.0,60.0,Fast,2,Fairy,Field,25.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
252,210,Granbull,2,Normal,Fairy Pokémon,1,Fairy,,1.4,48.7,3,Intimidate,Quick Feet,Rattled,450.0,90.0,120.0,75.0,60.0,60.0,45.0,75.0,70.0,158.0,Fast,2,Fairy,Field,25.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
253,211,Qwilfish,2,Normal,Balloon Pokémon,2,Water,Poison,0.5,3.9,3,Poison Point,Swift Swim,Intimidate,440.0,65.0,95.0,85.0,55.0,55.0,85.0,45.0,70.0,88.0,Medium Fast,1,Water 2,,50.0,20.0,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
254,212,Scizor,2,Normal,Pincer Pokémon,2,Bug,Steel,1.8,118.0,3,Swarm,Technician,Light Metal,500.0,70.0,130.0,100.0,55.0,80.0,65.0,25.0,70.0,175.0,Medium Fast,1,Bug,,50.0,25.0,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5
255,212,Mega Scizor,2,Normal,Pincer Pokémon,2,Bug,Steel,2.0,125.0,1,Technician,,,600.0,70.0,150.0,140.0,65.0,100.0,75.0,25.0,70.0,210.0,Medium Fast,1,Bug,,50.0,25.0,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5
256,213,Shuckle,2,Normal,Mold Pokémon,2,Bug,Rock,0.6,20.5,3,Sturdy,Gluttony,Contrary,505.0,20.0,10.0,230.0,10.0,230.0,5.0,190.0,70.0,177.0,Medium Slow,1,Bug,,50.0,20.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
257,214,Heracross,2,Normal,Single Horn Pokémon,2,Bug,Fighting,1.5,54.0,3,Swarm,Guts,Moxie,500.0,80.0,125.0,75.0,40.0,95.0,85.0,45.0,70.0,175.0,Slow,1,Bug,,50.0,25.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,4.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0
258,214,Mega Heracross,2,Normal,Single Horn Pokémon,2,Bug,Fighting,1.7,62.5,1,Skill Link,,,600.0,80.0,185.0,115.0,40.0,105.0,75.0,45.0,70.0,210.0,Slow,1,Bug,,50.0,25.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,4.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0
259,215,Sneasel,2,Normal,Sharp Claw Pokémon,2,Dark,Ice,0.9,28.0,3,Inner Focus,Keen Eye,Pickpocket,430.0,55.0,95.0,55.0,35.0,75.0,115.0,60.0,35.0,86.0,Medium Slow,1,Field,,50.0,20.0,1.0,2.0,1.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,0.0,2.0,2.0,0.5,1.0,0.5,2.0,2.0
260,216,Teddiursa,2,Normal,Little Bear Pokémon,1,Normal,,0.6,8.8,3,Pickup,Quick Feet,Honey Gather,330.0,60.0,80.0,50.0,50.0,50.0,40.0,120.0,70.0,66.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
261,217,Ursaring,2,Normal,Hibernator Pokémon,1,Normal,,1.8,125.8,3,Guts,Quick Feet,Unnerve,500.0,90.0,130.0,75.0,75.0,75.0,55.0,60.0,70.0,175.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
262,218,Slugma,2,Normal,Lava Pokémon,1,Fire,,0.7,35.0,3,Magma Armor,Flame Body,Weak Armor,250.0,40.0,40.0,40.0,70.0,40.0,20.0,190.0,70.0,50.0,Medium Fast,1,Amorphous,,50.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
263,219,Magcargo,2,Normal,Lava Pokémon,2,Fire,Rock,0.8,55.0,3,Magma Armor,Flame Body,Weak Armor,430.0,60.0,50.0,120.0,90.0,80.0,30.0,75.0,70.0,151.0,Medium Fast,1,Amorphous,,50.0,20.0,0.5,0.25,4.0,1.0,1.0,0.5,2.0,0.5,4.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
264,220,Swinub,2,Normal,Pig Pokémon,2,Ice,Ground,0.4,6.5,3,Oblivious,Snow Cloak,Thick Fat,250.0,50.0,50.0,40.0,30.0,30.0,50.0,225.0,70.0,50.0,Slow,1,Field,,50.0,20.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
265,221,Piloswine,2,Normal,Swine Pokémon,2,Ice,Ground,1.1,55.8,3,Oblivious,Snow Cloak,Thick Fat,450.0,100.0,100.0,80.0,60.0,60.0,50.0,75.0,70.0,158.0,Slow,1,Field,,50.0,20.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
266,222,Corsola,2,Normal,Coral Pokémon,2,Water,Rock,0.6,5.0,3,Hustle,Natural Cure,Regenerator,410.0,65.0,55.0,95.0,65.0,95.0,35.0,60.0,70.0,144.0,Fast,2,Water 1,Water 3,25.0,20.0,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
267,222,Galarian Corsola,2,Normal,Coral Pokémon,1,Ghost,,0.6,0.5,2,Weak Armor,,Cursed Body,410.0,60.0,55.0,100.0,65.0,100.0,30.0,93.17207792207792,64.1396103896104,153.81493506493507,Fast,2,Water 1,Water 3,55.00315656565657,20.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0
268,223,Remoraid,2,Normal,Jet Pokémon,1,Water,,0.6,12.0,3,Hustle,Sniper,Moody,300.0,35.0,65.0,35.0,65.0,35.0,65.0,190.0,70.0,60.0,Medium Fast,2,Water 1,Water 2,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
269,224,Octillery,2,Normal,Jet Pokémon,1,Water,,0.9,28.5,3,Suction Cups,Sniper,Moody,480.0,75.0,105.0,75.0,105.0,75.0,45.0,75.0,70.0,168.0,Medium Fast,2,Water 1,Water 2,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
270,225,Delibird,2,Normal,Delivery Pokémon,2,Ice,Flying,0.9,16.0,3,Vital Spirit,Hustle,Insomnia,330.0,45.0,55.0,45.0,65.0,45.0,75.0,45.0,70.0,116.0,Fast,2,Field,Water 1,50.0,20.0,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,2.0,1.0
